"Hostname","IP","Timestamp","OS","OS Version","MAC Address","Received Bytes","Transmited Bytes","Total Flows","Received Packets","Transmited Packets"
"","172.16.10.131","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.154","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.134","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.52","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.103","2020-07-20T00:00:00.000Z","","","","261000","261000","771","2900","2900"
"","172.16.55.52","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.47","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.13","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.109","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.76","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.140","2020-07-20T00:00:00.000Z","","","","4500","4500","50","50","50"
"","172.16.17.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.128","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.2","2020-07-20T00:00:00.000Z","","","","709188","495132","5314","7066","7066"
"","172.16.10.202","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.17","2020-07-20T00:00:00.000Z","","","","30536","36532","108","364","476"
"","172.16.254.126","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.255.255","2020-07-20T00:00:00.000Z","","","","144820","0","462","888","0"
"","172.16.10.5","2020-07-20T00:00:00.000Z","","","","4741133","3645454","44065","44119","44119"
"","172.16.10.101","2020-07-20T00:00:00.000Z","","","","260640","260640","783","2896","2896"
"","172.16.50.109","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.56","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.105","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.254.118","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.71","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.231","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.153","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"ito-test2","172.16.254.102","2020-07-20T00:00:00.000Z","CentOS","7.2","00:50:56:80:2d:76","2145516","3447697","4587","20741","30769"
"","172.16.0.50","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.16","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.73","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.203","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"addns","172.16.17.18","2020-07-20T00:00:00.000Z","MSServer2012R2Standard","","00:50:56:80:e2:09","40513354","45435382","338591","412565","411321"
"","172.16.50.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.127","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.46","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.72","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.152","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"SANOMURA-M-D0G9","172.16.254.5","2020-07-20T00:00:00.000Z","MacOSX","10.14.6","","0","0","0","0","0"
"","172.16.254.101","2020-07-20T00:00:00.000Z","","","","11747","65035","391","99","736"
"","172.16.2.20","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.199.121","2020-07-20T00:00:00.000Z","","","","1044","948","12","12","12"
"","172.16.0.37","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.111","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.150","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.3","2020-07-20T00:00:00.000Z","","","","48139","37040","324","314","434"
"","172.16.50.152","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.132","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.14","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.62","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.115","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"ito-test1","172.16.254.103","2020-07-20T00:00:00.000Z","CentOS","7.2","00:50:56:80:0e:94","3556643","10753474","2033","30001","38112"
"","172.16.0.43","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.105","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.121","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.58","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.3","2020-07-20T00:00:00.000Z","","","","4020146","3168938","39858","39885","39885"
"","172.16.10.99","2020-07-20T00:00:00.000Z","","","","260730","260730","728","2897","2897"
"","172.16.0.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
